Ministries/Departments,Heads of Expenditure,Detailed Heads of Expenditure,Actual 2019-2020,Budget 2020-2021,Revised 2020-2021,Budget 2021-2022
Dadra and Nagar Haveli and Daman and Diu,Grantee / Other Bodies - Dadra and Nagar Haveli and Daman and Diu,Grants to District Panchayats and Village Panchayats,...,382.00,144.09,419.69
Dadra and Nagar Haveli and Daman and Diu,Grantee / Other Bodies - Dadra and Nagar Haveli and Daman and Diu,Grants to Municipal Councils,...,90.00,16.70,87.00
Dadra and Nagar Haveli and Daman and Diu,Grantee / Other Bodies - Dadra and Nagar Haveli and Daman and Diu,Other Grantee Bodies,...,158.39,142.26,127.58
Dadra and Nagar Haveli and Daman and Diu,Other Expenditure of UT - Dadra and Nagar Haveli,Other Expenditure of UT - Dadra and Nagar Haveli,8.77,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Other Expenditure of UT - Daman and Diu,Other Expenditure of UT - Daman and Diu,0.12,...,...,...
Dadra and Nagar Haveli and Daman and Diu,Other Expenditure of UT - Dadra and Nagar Haveli and Daman and Diu,Other Expenditure of UT - Dadra and Nagar Haveli and Daman and Diu,...,8.20,5.27,10.17
Defence Pensions,Pensions and other Retirement Benefits,Army,98935.40,113257.00,108308.00,99921.00
Defence Pensions,Pensions and other Retirement Benefits,Navy,6862.91,7234.00,5937.80,5694.00
Defence Pensions,Pensions and other Retirement Benefits,Air Force,11991.14,13313.00,10733.00,10211.00
Defence Pensions,"Rewards-Army, Navy and Air Force","Rewards-Army, Navy and Air Force",20.79,21.00,21.20,24.00
Defence Pensions,Pensions and other Retirement Benefits,Pensions and other Retirement Benefits,117810.24,133825.00,125000.00,115850.00
Defence Services (Revenue),Army,Pay and Allowances of the Army,90339.47,93565.01,90681.53,93749.57
Defence Services (Revenue),Army,Pay and Allowances and miscellaneous expenses of Auxiliary Forces,1486.48,1744.66,1744.56,1954.77
Defence Services (Revenue),Army,Pay and Allowances of Civilians,6329.24,7213.93,6020.08,7213.93
Defence Services (Revenue),Army,Transportation,4517.45,4393.93,3383.93,4100.00
Defence Services (Revenue),Army,Military Farms,156.46,263.52,104.00,49.00
Defence Services (Revenue),Army,Ex-Servicemen Contributory Health Scheme,5179.95,3301.98,4451.98,3332.51
Defence Services (Revenue),Army,Inspection Director General Quality Audit (DGQA),1087.03,1254.63,1171.41,1274.40
Defence Services (Revenue),Army,Stores,18260.36,18327.64,21529.59,20332.00
Defence Services (Revenue),Army,Works,8127.26,8441.13,8097.58,8480.72
Defence Services (Revenue),Army,Rashtriya Rifles,7256.52,7375.48,7190.53,7323.48
Defence Services (Revenue),Army,National Cadet crops,1551.59,1661.50,1630.00,1635.76
Defence Services (Revenue),Army,Other Expenditure,2530.11,3013.50,3671.25,3475.17
Defence Services (Revenue),Army,Less Revenue Receipts,-3288.00,-3616.40,-3969.36,-4102.78
Defence Services (Revenue),Navy,Pay and Allowances of the Navy,6777.65,7432.00,6603.22,7432.00
Defence Services (Revenue),Navy,Pay and Allowances of Civilians,2553.62,3094.33,2780.33,3094.33
Defence Services (Revenue),Navy,Transportation,614.74,498.13,366.30,374.20
Defence Services (Revenue),Navy,Repairs and Refits,1848.16,1255.95,2088.36,1555.95
Defence Services (Revenue),Navy,Stores,6139.88,5703.93,7399.91,6053.93
Defence Services (Revenue),Navy,Works,1479.15,1465.67,1526.82,1495.67
Defence Services (Revenue),Navy,Joint Staff,2852.45,3439.65,3250.37,3339.51
Defence Services (Revenue),Navy,Other Expenditure,822.04,645.09,932.38,715.09
Defence Services (Revenue),Navy,Less Revenue Receipts,-700.38,-600.00,-1600.00,-700.00
Defence Services (Revenue),Air Force,Pay and Allowances of the Air Force,15461.19,16311.64,15379.32,16346.50
Defence Services (Revenue),Air Force,Pay and Allowances of Civilians,1578.13,1627.06,1539.00,1617.20
Defence Services (Revenue),Air Force,Transportation,1347.20,1087.49,1087.49,1087.49
Defence Services (Revenue),Air Force,Stores,9841.00,9110.43,11810.69,9428.91
Defence Services (Revenue),Air Force,Works,2510.59,2486.63,2496.45,2561.63
Defence Services (Revenue),Air Force,Special Projects,...,0.01,247.32,50.00
Defence Services (Revenue),Air Force,Other Expenditure,790.38,639.40,881.80,860.80
Defence Services (Revenue),Air Force,Less Revenue Receipts,-1404.18,-1300.00,-1700.00,-1300.00
Defence Services (Revenue),Defence Ordnance Factories,Direction and Administration,154.75,176.00,162.00,170.00
Defence Services (Revenue),Defence Ordnance Factories,Research and Development,92.99,120.00,88.00,100.00
Defence Services (Revenue),Defence Ordnance Factories,Maintenance - Machinery and Equipments,37.85,46.00,40.00,50.00
Defence Services (Revenue),Defence Ordnance Factories,Manufacture,6274.82,7162.35,6226.00,6986.00
Defence Services (Revenue),Defence Ordnance Factories,Transportation,146.32,150.00,85.00,140.00
Defence Services (Revenue),Defence Ordnance Factories,Renewal and Replacement,388.52,400.00,370.00,400.00
Defence Services (Revenue),Defence Ordnance Factories,Stores,3812.63,5508.18,3480.50,4121.11
Defence Services (Revenue),Defence Ordnance Factories,Works,197.37,240.00,165.00,200.00
Defence Services (Revenue),Defence Ordnance Factories,Transfer to /from Renewal Reserve Fund-Renewal Reserve Fund Ordnance Factories,86.48,...,105.00,50.00
Defence Services (Revenue),Defence Ordnance Factories,Other Expenditure,1029.72,1200.00,1075.00,1040.00
Defence Services (Revenue),Defence Ordnance Factories,"Deduct - Recoveries for Supplies made to Army, Navy, Air Force etc",-7448.41,-11082.85,-8995.39,-10866.83
Defence Services (Revenue),Defence Ordnance Factories,Less Revenue Receipts,-1928.50,-3233.08,-2794.37,-2276.40
Defence Services (Revenue),Research and Development,Training,18.00,24.00,13.00,23.00
Defence Services (Revenue),Research and Development,Research /Research Development,1230.67,845.36,414.55,612.50
Defence Services (Revenue),Research and Development,Pay and Allowances of Service Personnel,450.09,488.00,440.00,488.00
Defence Services (Revenue),Research and Development,Pay and Allowances of Civilians,3194.01,3515.55,3284.49,3515.55
Defence Services (Revenue),Research and Development,Transportation,161.24,210.00,180.00,220.00
Defence Services (Revenue),Research and Development,Stores,2616.44,2550.00,2980.81,2969.12
Defence Services (Revenue),Research and Development,Works,1004.75,1020.47,1020.47,1050.97
Defence Services (Revenue),Research and Development,Other Expenditure,410.94,441.10,475.10,502.80
Defence Services (Revenue),Research and Development,Less Revenue Receipts,-404.07,-300.00,-300.00,-300.00
Defence Services (Revenue),Defence Services - Army,Defence Services - Army,143533.92,146940.51,145707.08,148818.53
Defence Services (Revenue),Defence Services - Navy,Defence Services - Navy,22387.31,22934.75,23347.69,23360.68
Defence Services (Revenue),Defence Services - Air Force,Defence Services - Air Force,30124.31,29962.66,31742.07,30652.53
Defence Services (Revenue),Defence Services - Ordnance Factories,Defence Services - Ordnance Factories,2844.54,686.60,6.74,113.88
Defence Services (Revenue),Defence Services - Research and Development,Defence Services - Research and Development,8682.07,8794.48,8508.42,9081.94
Department for Promotion of industry and lnternal Trade,Secretariat,Secretariat,87.81,114.23,88.88,100.00
Department for Promotion of industry and lnternal Trade,Intellectual Property,Modernisation and strengthening of Intellectual Property Offices,122.21,...,...,...
Department for Promotion of industry and lnternal Trade,Intellectual Property,Strengthening of Intellectual Property Appellate Board (IPAB),5.16,11.80,7.74,10.15
Department for Promotion of industry and lnternal Trade,Intellectual Property,Controller General of Patent Designs and Trademarks,87.51,232.58,178.29,193.72
Department for Promotion of industry and lnternal Trade,Intellectual Property,National Institute of Intellectual Property Management,2.54,...,...,...
Department for Promotion of industry and lnternal Trade,Intellectual Property,Cell for Promotion of Intellectual Property and Management (CIPAM),2.74,...,...,...
Department for Promotion of industry and lnternal Trade,Intellectual Property,Copyright Office,2.27,3.30,2.50,2.71
Department for Promotion of industry and lnternal Trade,Intellectual Property,Scheme for Pedagogy and Research in IPRs for Holistic Education and Academia,1.13,...,...,...
Department for Promotion of industry and lnternal Trade,Intellectual Property,Intellectual Policy Rights (IPR) Policy Management,...,9.40,5.28,9.45
Department for Promotion of industry and lnternal Trade,Intellectual Property,Infrastructure Development Intellectual Property Appellate Board (IDIPAB),...,7.39,...,...
Department for Promotion of industry and lnternal Trade,Intellectual Property,Infrastructure Development in Controller General of Patents Designs and Trade Marks (IDCGPDTM),...,59.23,20.00,10.00
Department for Promotion of industry and lnternal Trade,Attached and Subordinate Offices,Petroleum and Explosives Safety Organisation (PESO),59.24,77.67,61.05,60.77
Department for Promotion of industry and lnternal Trade,Attached and Subordinate Offices,Salt Commissioner,31.05,31.46,28.66,31.62
Department for Promotion of industry and lnternal Trade,Attached and Subordinate Offices,Tariff Commission,6.24,7.53,6.71,6.95
Department for Promotion of industry and lnternal Trade,Attached and Subordinate Offices,Survey of Boiler,0.38,0.40,...,0.45
Department for Promotion of industry and lnternal Trade,Indian Leather Development Programme (ILDP),Indian Leather Development Programme (ILDP),382.78,370.00,148.00,150.00
Department for Promotion of industry and lnternal Trade,Industrial Infrastructure Upgradation Scheme (IIUS),Industrial Infrastructure Upgradation Scheme (IIUS),22.55,25.00,25.00,13.00
Department for Promotion of industry and lnternal Trade,Price and Production Statistics,Price and Production Statistics,8.63,12.00,12.00,12.70
Department for Promotion of industry and lnternal Trade,National Industrial Corridor Development and Implementation Trust (NICDIT),National Industrial Corridor Development and Implementation Trust (NICDIT),950.00,1200.00,2600.00,2000.00
Department for Promotion of industry and lnternal Trade,Amritsar Kolkata Industrial Corridor Project (AKIC),Amritsar Kolkata Industrial Corridor Project (AKIC),2.70,...,...,...
Department for Promotion of industry and lnternal Trade,"Exhibition-Cum-Convention Centre, Dwarka","Exhibition-Cum-Convention Centre, Dwarka",654.41,347.42,347.42,245.58
Department for Promotion of industry and lnternal Trade,Scheme for Investment Promotion,Scheme for Investment Promotion,148.94,140.00,91.00,90.49
Department for Promotion of industry and lnternal Trade,Scheme for implementation of National Manufacturing Policy,Scheme for implementation of National Manufacturing Policy,8.29,...,...,...
Department for Promotion of industry and lnternal Trade,Ease of Doing Business (e-Biz Project),Ease of Doing Business (e-Biz Project),1.48,7.00,...,...
Department for Promotion of industry and lnternal Trade,Fund of Funds,Fund of Funds,431.31,1054.97,429.99,830.00
Department for Promotion of industry and lnternal Trade,Credit Guarantee Fund,Credit Guarantee Fund,...,10.00,...,300.00
Department for Promotion of industry and lnternal Trade,Startup India,Startup India,28.45,50.00,20.00,20.83
Department for Promotion of industry and lnternal Trade,Startup India Seed Fund Scheme (SISFS),Startup India Seed Fund Scheme (SISFS),...,...,...,126.00
Department for Promotion of industry and lnternal Trade,Ease of Doing Business,Ease of Doing Business,3.31,20.00,8.00,10.00
Department for Promotion of industry and lnternal Trade,"Production Linked Incentive Scheme (PLI) for White
Goods (ACs and LED Lights)","Production Linked Incentive Scheme (PLI) for White
Goods (ACs and LED Lights)",...,...,...,1.00
Department for Promotion of industry and lnternal Trade,North Eastern Industrial and Investment Promotion Policy (NEIPP),North Eastern Industrial and Investment Promotion Policy (NEIPP),583.52,200.00,200.00,150.00
Department for Promotion of industry and lnternal Trade,Transport/Freight Subsidy Scheme,Transport/Freight Subsidy Scheme,342.87,300.00,385.00,350.00
Department for Promotion of industry and lnternal Trade,"Package for Special Category States for Jammu and Kashmir, Himachal Pradesh and Uttarakhand","Package for Special Category States for Jammu and Kashmir, Himachal Pradesh and Uttarakhand",132.99,175.00,45.00,20.00
Department for Promotion of industry and lnternal Trade,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,2130.09,1716.00,2716.00,2507.92
Department for Promotion of industry and lnternal Trade,North East Industrial Development Scheme (NEIDS) 2017,North East Industrial Development Scheme (NEIDS) 2017,1.00,100.00,15.00,30.00
Department for Promotion of industry and lnternal Trade,Industrial Development of UT of Jammu and Kashmir,Industrial Development of UT of Jammu and Kashmir,...,...,...,104.50
Department for Promotion of industry and lnternal Trade,Autonomous Organisations,Support to Autonomous Institutions,109.98,250.00,82.26,133.17
Department for Promotion of industry and lnternal Trade,Autonomous Organisations,World Intellectual Property Organisation (WIPO),0.65,0.70,0.77,0.80
Department for Promotion of industry and lnternal Trade,Autonomous Organisations,Asian Productivity Organization/United Nations Industrial Development Organization,25.91,22.47,17.31,18.59
Department for Promotion of industry and lnternal Trade,Autonomous Organisations,Assistance to Autonomous Bodies,45.15,50.00,41.20,41.84
Department for Promotion of industry and lnternal Trade,Actual Recovery,Actual Recovery,-19.09,...,...,...
Department for Promotion of industry and lnternal Trade,Other Administrative Services,Other Administrative Services,59.24,77.67,61.05,60.77
Department for Promotion of industry and lnternal Trade,Capital Outlay on Public Works,Capital Outlay on Public Works,21.17,66.62,20.00,10.00
Department for Promotion of industry and lnternal Trade,Industries,Industries,800.09,969.58,453.86,804.94
Department for Promotion of industry and lnternal Trade,Other Outlays on Industries and Minerals,Other Outlays on Industries and Minerals,4141.73,2949.44,5219.44,4441.72
Department for Promotion of industry and lnternal Trade,Secretariat-Economic Services,Secretariat-Economic Services,87.45,114.23,88.88,100.00
Department for Promotion of industry and lnternal Trade,Other General Economic Services,Other General Economic Services,208.80,269.28,206.08,228.93
Department for Promotion of industry and lnternal Trade,Capital Outlay on Other Industries,Capital Outlay on Other Industries,1085.72,1402.38,777.40,1201.58
Department for Promotion of industry and lnternal Trade,North Eastern Areas,North Eastern Areas,...,756.35,756.35,934.30
Department of  Drinking Water and Sanitation,Secretariat,Secretariat,20.81,24.00,23.50,25.35
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,Transfer to Central Road and Infrastructure Fund (CRIF),7750.36,7750.36,11000.00,50000.00
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,"National Centre for Drinking Water, Sanitation and Quality",65.05,47.00,47.00,47.00
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,Mission Management,4.51,13.70,3.87,14.70
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,Assistance to Institutions etc.,4.50,5.00,5.00,5.00
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,"Conference, Seminars, Exhibitions",1.37,1.10,0.56,4.05
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,Human Resource Development,0.02,3.50,1.50,70.00
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,Monitoring and Evaluation,0.73,6.50,6.50,10.00
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,"Information, Education and Communication",1.10,70.00,20.00,70.00
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,Management Information System,0.29,2.00,2.00,12.00
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,Research,0.03,1.00,1.00,5.00
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,National Project Management Unit (NPMU),0.03,...,7.07,15.50
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,Jal Jeevan Mission/National Rural Drinking Water Programme - Normal Programme,9475.81,11218.20,10905.50,49757.75
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,World Bank Assistance (EAP Component),476.98,...,...,...
Department of  Drinking Water and Sanitation,Jal Jeevan Mission (JJM) / National Rural Drinking Water Mission,National Project Management Unit (NPMU)- EAP Component,...,...,...,...
